"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
chr3:64734347-<b>C</b>,"1 x 10-16",,NR,0.8347,'-,[0.7997-0.8713],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr11:68326963-<b>A</b>,"2 x 10-12",,NR,0.8486,'-,[0.8105-0.8885],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr5:6893947-<b>A</b>,"8 x 10-7",,NR,1.158,'-,[1.092-1.227],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr3:57041866-<b>A</b>,"4 x 10-13",,NR,1.171,'-,[1.122-1.223],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr12:65324519-<b>G</b>,"1 x 10-6",,NR,1.189,'-,[1.109-1.276],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr5:80384899-<b>G</b>,"5 x 10-16",,NR,1.192,'-,[1.143-1.244],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:25772946-<b>T</b>,"8 x 10-6",,NR,1.864,'-,[1.418-2.451],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:26732200-<b>G</b>,"1 x 10-79",,NR,1.92,'-,[1.794-2.054],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:60197190-<b>T</b>,"1 x 10-14",,NR,1.981,'-,[1.665-2.358],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:25710343-<b>A</b>,"9 x 10-70",,NR,1.985,'-,[1.839-2.141],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:30964532-<b>T</b>,"2 x 10-202",,NR,1.987,'-,[1.901-2.077],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:25513951-<b>A</b>,"3 x 10-65",,NR,1.998,'-,[1.845-2.163],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:27883876-<b>G</b>,"2 x 10-102",,NR,1.998,'-,[1.876-2.128],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:25822433-<b>T</b>,"1 x 10-71",,NR,2,'-,[1.853-2.157],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:25929860-<b>A</b>,"7 x 10-73",,NR,2.007,'-,[1.86-2.164],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:27523520-<b>A</b>,"2 x 10-96",,NR,2.009,'-,[1.882-2.146],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:26073147-<b>A</b>,"5 x 10-74",,NR,2.014,'-,[1.868-2.172],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:26199675-<b>T</b>,"3 x 10-79",,NR,2.023,'-,[1.88-2.177],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr18:58518360-<b>A</b>,"3 x 10-8",,NR,2.028,'-,[1.58-2.602],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:27174125-<b>T</b>,"9 x 10-87",,NR,2.048,'-,[1.907-2.199],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:27349237-<b>A</b>,"1 x 10-88",,NR,2.05,'-,[1.911-2.2],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:27624224-<b>T</b>,"4 x 10-90",,NR,2.05,'-,[1.912-2.199],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:28594470-<b>T</b>,"3 x 10-93",,NR,2.051,'-,[1.915-2.197],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr18:58389479-<b>T</b>,"2 x 10-7",,NR,2.051,'-,[1.568-2.681],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:26316067-<b>A</b>,"3 x 10-83",,NR,2.052,'-,[1.908-2.207],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:28309894-<b>G</b>,"3 x 10-92",,NR,2.053,'-,[1.915-2.2],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:26463346-<b>T</b>,"6 x 10-87",,NR,2.055,'-,[1.914-2.208],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:26935600-<b>T</b>,"3 x 10-87",,NR,2.055,'-,[1.914-2.207],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:27731058-<b>T</b>,"6 x 10-91",,NR,2.056,'-,[1.917-2.204],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:26581807-<b>T</b>,"1 x 10-87",,NR,2.06,'-,[1.918-2.213],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:28429899-<b>A</b>,"8 x 10-94",,NR,2.061,'-,[1.924-2.208],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:28026638-<b>T</b>,"3 x 10-94",,NR,2.07,'-,[1.931-2.218],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:28699892-<b>G</b>,"3 x 10-96",,NR,2.073,'-,[1.936-2.221],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:28171932-<b>T</b>,"7 x 10-95",,NR,2.075,'-,[1.936-2.224],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:29215110-<b>A</b>,"9 x 10-99",,NR,2.075,'-,[1.939-2.221],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr15:74624584-<b>T</b>,"2 x 10-6",,NR,2.078,'-,[1.541-2.801],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:29100913-<b>A</b>,"4 x 10-99",,NR,2.08,'-,[1.943-2.226],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:29785031-<b>G</b>,"1 x 10-110",,NR,2.106,'-,[1.973-2.249],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:29558785-<b>A</b>,"7 x 10-108",,NR,2.114,'-,[1.978-2.26],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:30064745-<b>C</b>,"2 x 10-113",,NR,2.114,'-,[1.982-2.256],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:28939145-<b>G</b>,"1 x 10-101",,NR,2.116,'-,[1.976-2.266],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:28828294-<b>C</b>,"4 x 10-117",,NR,2.13,'-,[1.997-2.272],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:30202510-<b>G</b>,"4 x 10-125",,NR,2.156,'-,[2.023-2.296],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:29388554-<b>G</b>,"3 x 10-114",,NR,2.161,'-,[2.022-2.31],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:30569095-<b>A</b>,"4 x 10-132",,NR,2.162,'-,[2.033-2.3],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:30685004-<b>T</b>,"2 x 10-133",,NR,2.169,'-,[2.04-2.308],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:32836793-<b>A</b>,"9 x 10-273",,NR,2.243,'-,[2.145-2.346],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:30387407-<b>G</b>,"2 x 10-151",,NR,2.262,'-,[2.128-2.404],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr21:44998426-<b>T</b>,"6 x 10-10",,NR,2.265,'-,[1.749-2.933],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:30801949-<b>T</b>,"1 x 10-271",,NR,2.377,'-,[2.265-2.494],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:31395249-<b>T</b>,"3 x 10-279",,NR,2.421,'-,[2.307-2.542],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:31517324-<b>C</b>,"2 x 10-308",,NR,2.557,'-,[2.438-2.682],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:31135418-<b>G</b>,"2 x 10-219",,NR,2.568,'-,[2.423-2.723],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:46032617-<b>T</b>,"9 x 10-6",,NR,2.674,'-,[1.734-4.124],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:32978829-<b>C</b>,"9 x 10-202",,NR,2.699,'-,[2.531-2.878],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:31635993-<b>G</b>,"1 x 10-302",,NR,2.713,'-,[2.574-2.86],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:31799896-<b>TA</b>,"4 x 10-282",,NR,3.076,'-,[2.893-3.27],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:31951083-<b>G</b>,"1 x 10-283",,NR,3.097,'-,[2.912-3.294],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:32061428-<b>A</b>,"7 x 10-285",,NR,3.116,'-,[2.93-3.315],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:32234432-<b>C</b>,"1 x 10-305",,NR,3.251,'-,[3.056-3.458],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr21:41956642-<b>A</b>,"2 x 10-7",,NR,3.264,'-,[2.097-5.082],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr20:4377254-<b>C</b>,"4 x 10-6",,NR,3.403,'-,[2.021-5.731],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:33647094-<b>C</b>,"1 x 10-96",,NR,3.465,'-,[3.083-3.894],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:33489728-<b>A</b>,"2 x 10-108",,NR,3.764,'-,[3.347-4.233],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:33387741-<b>T</b>,"2 x 10-108",,NR,3.776,'-,[3.357-4.248],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr19:35897277-<b>T</b>,"2 x 10-6",,NR,3.883,'-,[2.209-6.826],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr8:76353999-<b>T</b>,"4 x 10-6",,NR,5.092,'-,[2.55-10.17],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:32405601-<b>T</b>,"4 x 10-308",,NR,6.977,'-,[6.304-7.722],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:134585720-<b>C</b>,"5 x 10-10",,NR,1.348,'-,[1.227-1.481],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:135859184-<b>C</b>,"1 x 10-22",,NR,0.6145,'-,[0.5575-0.6773],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:134688820-<b>G</b>,"7 x 10-12",,NR,1.385,'-,[1.262-1.52],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:135197227-<b>C</b>,"4 x 10-22",,NR,0.621,'-,[0.5638-0.6839],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr3:57295247-<b>G</b>,"2 x 10-8",,NR,1.389,'-,[1.24-1.557],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:135403522-<b>G</b>,"2 x 10-21",,NR,0.627,'-,[0.5695-0.6903],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr5:6893947-<b>A</b>,"1 x 10-8",,NR,1.418,'-,[1.258-1.599],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr10:131361823-<b>G</b>,"2 x 10-8",,NR,0.6576,'-,[0.5676-0.7619],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:135731408-<b>G</b>,"4 x 10-14",,NR,0.6604,'-,[0.5931-0.7354],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr12:65543332-<b>G</b>,"7 x 10-9",,NR,1.428,'-,[1.266-1.611],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:127756593-<b>T</b>,"4 x 10-8",,NR,0.6726,'-,[0.5839-0.7747],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:26835246-<b>C</b>,"5 x 10-11",,NR,1.438,'-,[1.291-1.603],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr8:56693303-<b>ATT</b>,"3 x 10-8",,NR,1.438,'-,[1.265-1.634],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr15:27596077-<b>C</b>,"2 x 10-8",,NR,1.439,'-,[1.267-1.634],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:137009624-<b>A</b>,"4 x 10-11",,NR,1.459,'-,[1.305-1.633],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr4:92954497-<b>G</b>,"4 x 10-8",,NR,1.465,'-,[1.278-1.678],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr14:22390463-<b>A</b>,"1 x 10-8",,NR,0.7387,'-,[0.6653-0.8201],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr1:151853237-<b>G</b>,"3 x 10-8",,NR,0.7523,'-,[0.6806-0.8316],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr3:64722924-<b>C</b>,"6 x 10-9",,NR,0.7524,'-,[0.6835-0.8282],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr5:80384899-<b>G</b>,"5 x 10-8",,NR,1.299,'-,[1.183-1.427],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr19:31157758-<b>C</b>,"2 x 10-8",,NR,1.317,'-,[1.197-1.449],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
rs13147255-<b>A</b>,"1 x 10-8",,NR,1.318,'-,[1.198-1.449],"ANKRD50, LINC02516","Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,4:124578751
rs857786-<b>T</b>,"6 x 10-9",,NR,1.322,'-,[1.203-1.452],"MNDA, OR10AA1P","Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,1:158815304
chr19:42174477-<b>CATAA</b>,"2 x 10-8",,NR,1.765,'-,[1.449-2.151],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:33301993-<b>A</b>,"3 x 10-9",,NR,1.784,'-,[1.474-2.159],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:33464895-<b>G</b>,"3 x 10-10",,NR,1.797,'-,[1.498-2.155],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:32596935-<b>G</b>,"3 x 10-28",,NR,0.2314,'-,[0.1784-0.3002],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:135623778-<b>A</b>,"8 x 10-23",,NR,0.6145,'-,[0.5577-0.6771],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr9:20324372-<b>G</b>,"3 x 10-9",,NR,1.354,'-,[1.225-1.497],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:135080336-<b>A</b>,"9 x 10-23",,NR,0.6175,'-,[0.5608-0.6799],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:135516008-<b>C</b>,"9 x 10-21",,NR,0.6253,'-,[0.5666-0.6899],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr3:57269656-<b>G</b>,"4 x 10-9",,NR,1.418,'-,[1.262-1.593],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:135301250-<b>A</b>,"3 x 10-15",,NR,0.6558,'-,[0.5904-0.7284],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr7:129944187-<b>A</b>,"8 x 10-9",,NR,1.423,'-,[1.262-1.604],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr7:44959149-<b>C</b>,"1 x 10-10",,NR,1.428,'-,[1.282-1.591],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:135964425-<b>C</b>,"7 x 10-16",,NR,0.6614,'-,[0.5983-0.7312],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:134947988-<b>G</b>,"4 x 10-14",,NR,1.43,'-,[1.304-1.569],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr4:137228466-<b>C</b>,"1 x 10-8",,NR,0.6804,'-,[0.5957-0.7772],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:134846613-<b>C</b>,"2 x 10-13",,NR,0.7009,'-,[0.6375-0.7705],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr11:68326963-<b>A</b>,"1 x 10-9",,NR,0.7195,'-,[0.647-0.8002],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr11:18264227-<b>A</b>,"4 x 10-9",,NR,0.7347,'-,[0.663-0.8142],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:41910220-<b>T</b>,"6 x 10-9",,NR,0.7377,'-,[0.6657-0.8175],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:136221960-<b>A</b>,"4 x 10-16",,NR,1.474,'-,[1.342-1.619],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:33168798-<b>C</b>,"3 x 10-16",,NR,1.483,'-,[1.35-1.63],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr1:37812907-<b>T</b>,"6 x 10-14",,NR,1.485,'-,[1.339-1.646],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr12:65324519-<b>G</b>,"3 x 10-8",,NR,1.491,'-,[1.294-1.718],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr12:65644210-<b>C</b>,"7 x 10-10",,NR,1.519,'-,[1.33-1.735],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:136066296-<b>A</b>,"4 x 10-19",,NR,1.534,'-,[1.397-1.685],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:25371141-<b>T</b>,"1 x 10-9",,NR,1.749,'-,[1.46-2.095],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr3:57041866-<b>A</b>,"4 x 10-9",,NR,1.326,'-,[1.207-1.457],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr9:5703334-<b>T</b>,"5 x 10-8",,NR,2.398,'-,[1.752-3.284],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:28485841-<b>G</b>,"4 x 10-39",,NR,2.4,'-,[2.105-2.736],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:28355925-<b>A</b>,"4 x 10-39",,NR,2.402,'-,[2.107-2.739],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:117481369-<b>T</b>,"4 x 10-8",,NR,2.412,'-,[1.76-3.306],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:29238474-<b>C</b>,"6 x 10-43",,NR,2.422,'-,[2.135-2.748],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:28705657-<b>A</b>,"4 x 10-41",,NR,2.428,'-,[2.133-2.763],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:29051468-<b>G</b>,"3 x 10-42",,NR,2.437,'-,[2.144-2.77],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:29499942-<b>A</b>,"2 x 10-43",,NR,2.449,'-,[2.157-2.78],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:30331468-<b>G</b>,"2 x 10-47",,NR,2.46,'-,[2.178-2.779],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:28939145-<b>G</b>,"7 x 10-43",,NR,2.469,'-,[2.17-2.809],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:29388554-<b>G</b>,"6 x 10-45",,NR,2.475,'-,[2.181-2.808],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:30441472-<b>C</b>,"1 x 10-52",,NR,2.51,'-,[2.23-2.824],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr9:71822481-<b>T</b>,"5 x 10-8",,NR,2.515,'-,[1.806-3.504],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:30157766-<b>T</b>,"1 x 10-51",,NR,2.534,'-,[2.246-2.858],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:30733315-<b>T</b>,"7 x 10-56",,NR,2.545,'-,[2.266-2.858],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:30576624-<b>G</b>,"1 x 10-57",,NR,2.573,'-,[2.292-2.889],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:60197190-<b>T</b>,"2 x 10-9",,NR,2.584,'-,[1.894-3.526],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr16:73991175-<b>G</b>,"2 x 10-8",,NR,2.605,'-,[1.866-3.636],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:30843488-<b>C</b>,"2 x 10-62",,NR,2.634,'-,[2.351-2.951],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:31000992-<b>G</b>,"2 x 10-64",,NR,2.658,'-,[2.373-2.976],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr16:9864106-<b>C</b>,"7 x 10-11",,NR,2.708,'-,[2.008-3.652],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:31229085-<b>A</b>,"2 x 10-75",,NR,2.724,'-,[2.448-3.031],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:31117579-<b>T</b>,"6 x 10-72",,NR,2.761,'-,[2.471-3.085],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:62744832-<b>C</b>,"1 x 10-8",,NR,2.793,'-,[1.96-3.98],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:31348918-<b>A</b>,"9 x 10-76",,NR,2.856,'-,[2.555-3.194],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:26935600-<b>T</b>,"1 x 10-31",,NR,2.271,'-,[1.979-2.606],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:26581807-<b>T</b>,"1 x 10-31",,NR,2.275,'-,[1.983-2.61],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:27104763-<b>G</b>,"7 x 10-32",,NR,2.277,'-,[1.985-2.613],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
